geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000154217,ENSG00000154217.14,6.106507499,-0.004969967,0.996561009,1.04E-16,4.35E-12,3.12E-11,PITPNC1
ENSG00000011201,ENSG00000011201.11,-1.215570562,0.021100491,1.014733225,8.49E-16,1.78E-11,5.89E-11,ANOS1
ENSG00000118113,ENSG00000118113.11,2.51190383,0.034769635,1.024393238,7.04E-15,6.92E-11,1.60E-10,MMP8
ENSG00000257017,ENSG00000257017.8,1.434181475,0.027452541,1.01921085,2.26E-15,3.15E-11,1.60E-10,HP
ENSG00000150337,ENSG00000150337.13,3.671595326,0.021856781,1.015265309,9.89E-15,8.28E-11,4.75E-09,FCGR1A
ENSG00000077684,ENSG00000077684.15,6.67644051,-0.004032673,0.997208667,1.61E-12,7.62E-09,2.19E-08,JADE1
ENSG00000163754,ENSG00000163754.17,5.051833443,0.007598251,1.005280599,7.68E-13,4.45E-09,2.19E-08,GYG1
ENSG00000198805,ENSG00000198805.11,6.43820006,0.010725474,1.007462035,1.91E-12,8.49E-09,2.19E-08,PNP
ENSG00000265531,ENSG00000265531.3,1.036835591,0.023896496,1.016701729,1.23E-13,8.61E-10,2.19E-08,FCGR1CP
ENSG00000134755,ENSG00000134755.14,5.426538708,0.018392054,1.012830008,4.73E-12,1.77E-08,8.86E-08,DSC2
ENSG00000155380,ENSG00000155380.11,3.769650814,0.006994161,1.004859753,2.22E-12,9.28E-09,8.86E-08,SLC16A1
ENSG00000173391,ENSG00000173391.8,0.3682381,0.024958597,1.017450492,1.25E-11,3.52E-08,8.86E-08,OLR1
ENSG00000187554,ENSG00000187554.11,5.150926487,0.012391679,1.008626251,9.82E-12,3.02E-08,8.86E-08,TLR5
ENSG00000283646,ENSG00000283646.1,0.929705743,0.02465862,1.017238958,8.05E-12,2.64E-08,8.86E-08,LINC02009
ENSG00000122420,ENSG00000122420.9,-0.665156456,0.023966009,1.016750718,1.28E-11,3.57E-08,9.63E-08,PTGFR
ENSG00000130513,ENSG00000130513.6,-1.614347778,0.013379788,1.0093173,2.05E-11,4.68E-08,9.63E-08,GDF15
ENSG00000143771,ENSG00000143771.11,5.477411746,0.005835585,1.004053111,2.63E-11,5.27E-08,9.63E-08,CNIH4
ENSG00000148175,ENSG00000148175.12,7.850416681,0.012117326,1.008434462,2.04E-11,4.67E-08,9.63E-08,STOM
ENSG00000198019,ENSG00000198019.12,3.899390731,0.016714574,1.011653033,1.75E-11,4.30E-08,9.63E-08,FCGR1BP
ENSG00000206199,ENSG00000206199.10,1.682715816,-0.01588918,0.989046887,2.37E-11,5.02E-08,9.63E-08,ANKUB1
ENSG00000091436,ENSG00000091436.16,5.084615816,0.008749351,1.006083015,2.66E-11,5.30E-08,2.07E-07,MAP3K20
ENSG00000120217,ENSG00000120217.13,4.344096502,0.014858292,1.010352201,4.32E-11,7.42E-08,2.07E-07,CD274
ENSG00000144290,ENSG00000144290.16,2.430483717,-0.026233968,0.98198033,3.23E-11,6.10E-08,2.07E-07,SLC4A10
ENSG00000164430,ENSG00000164430.15,4.725082806,0.005483581,1.003808162,4.16E-11,7.24E-08,2.07E-07,CGAS
ENSG00000029153,ENSG00000029153.14,1.12356313,0.012889846,1.008974593,4.64E-11,7.76E-08,5.09E-07,BMAL2
ENSG00000091129,ENSG00000091129.19,0.372663236,-0.023411157,0.983903577,1.03E-10,1.50E-07,6.77E-07,NRCAM
ENSG00000138772,ENSG00000138772.12,5.115052975,0.017425568,1.012151723,1.09E-10,1.57E-07,6.77E-07,ANXA3
ENSG00000179869,ENSG00000179869.14,3.900866445,0.024029289,1.016795316,9.55E-11,1.41E-07,6.77E-07,ABCA13
ENSG00000198829,ENSG00000198829.6,1.147312755,0.0155637,1.010846335,5.85E-11,9.42E-08,6.77E-07,SUCNR1
ENSG00000012223,ENSG00000012223.12,4.250308768,0.026454975,1.01850635,1.23E-10,1.72E-07,2.09E-06,LTF
ENSG00000023909,ENSG00000023909.9,4.530688523,0.006449545,1.004480492,4.41E-10,5.08E-07,2.09E-06,GCLM
ENSG00000092200,ENSG00000092200.12,3.509190812,-0.011991833,0.991722345,3.20E-10,3.94E-07,2.09E-06,RPGRIP1
ENSG00000122966,ENSG00000122966.15,1.724396206,0.009620389,1.006690628,4.73E-10,5.35E-07,2.09E-06,CIT
ENSG00000145555,ENSG00000145555.14,1.129591592,0.01582377,1.011028573,3.28E-10,4.03E-07,2.09E-06,MYO10
ENSG00000183019,ENSG00000183019.7,1.292524495,0.016090064,1.011215207,1.98E-10,2.63E-07,2.09E-06,MCEMP1
ENSG00000255007,ENSG00000255007.1,-2.015369122,0.004740929,1.003291567,3.26E-10,4.01E-07,2.09E-06,LINC02489
ENSG00000157168,ENSG00000157168.18,3.03843179,0.021792023,1.015219737,4.73E-10,5.35E-07,2.34E-06,NRG1
ENSG00000147324,ENSG00000147324.10,5.53412789,0.007716914,1.005363288,5.29E-10,5.83E-07,3.15E-06,MFHAS1
ENSG00000074966,ENSG00000074966.10,6.492867856,-0.008500987,0.994124891,1.46E-09,1.25E-06,3.63E-06,TXK
ENSG00000122641,ENSG00000122641.10,-0.139288766,0.019831045,1.013840741,1.35E-09,1.18E-06,3.63E-06,INHBA
ENSG00000145685,ENSG00000145685.13,4.73019313,0.009966907,1.006932453,1.43E-09,1.23E-06,3.63E-06,LHFPL2
ENSG00000164047,ENSG00000164047.4,3.747004545,0.020664681,1.014426741,6.04E-10,6.49E-07,3.63E-06,CAMP
ENSG00000165949,ENSG00000165949.12,2.66889805,0.034305521,1.024063744,9.76E-10,9.44E-07,3.63E-06,IFI27
ENSG00000172331,ENSG00000172331.11,7.436623094,0.018429083,1.012856004,1.16E-09,1.07E-06,3.63E-06,BPGM
ENSG00000197646,ENSG00000197646.7,0.537218135,0.016561692,1.011545835,1.22E-09,1.11E-06,3.63E-06,PDCD1LG2
ENSG00000198574,ENSG00000198574.5,3.934441346,-0.013651492,0.990582135,1.23E-09,1.12E-06,3.63E-06,SH2D1B
ENSG00000225492,ENSG00000225492.6,0.631252185,0.020316735,1.014182113,9.54E-10,9.28E-07,3.63E-06,GBP1P1
ENSG00000279320,ENSG00000279320.1,2.694607017,0.013179348,1.009177082,9.24E-10,9.06E-07,3.63E-06,
ENSG00000096006,ENSG00000096006.11,1.88048277,0.022478764,1.01570311,1.93E-09,1.53E-06,5.38E-06,CRISP3
ENSG00000108950,ENSG00000108950.11,0.787452312,0.01865354,1.013013598,2.30E-09,1.73E-06,5.38E-06,FAM20A
